zip,path_in_zip,size_bytes,extension,category,decision,reasons,sha256
Source - 2.zip,Source/Core/MaskSnapshot.cpp,10153,.cpp,code/config,keep,,0f1328228aa86aa7b54011dc69252745859c20c7e32ea0c9e141af00240cf781
Source - 2.zip,Source/Core/MaskSnapshot.h,8695,.h,code/config,keep,,eefb39eb6a1a36387d59f90191890f13f7b6697d69cc051cde1bdbec55dfea35
Source - 2.zip,Source/Core/MaskSnapshotDemo.md,3285,.md,docs,keep,,3e4729086f4630e30f3e52e9b34335aada347fd9be534e02acec1e11b45e2d82
Source - 2.zip,Source/Core/MessageBus.h,2200,.h,code/config,keep,,9c62fccc6f3fb4cdede640621ca2c6ac37ee405bbc72765c0062a4b7a5491e3d
Source - 2.zip,Source/Core/ModMatrix.cpp,277,.cpp,code/config,keep,,1adb855fe812f9ccf57e485d4cfb3899ff49cb7107d0a777d23bccd80338450e
Source - 2.zip,Source/Core/ModMatrix.h,265,.h,code/config,keep,,180ffba63ad6434b121edffbdef6a083089d505a3e863f6771719e32162522e2
Source - 2.zip,Source/Core/MorphFilter.cpp,5419,.cpp,code/config,keep,,47c968a7b4fbe276af02300b0ce2c9e4988940be1255135e80dd58e4d4a17c91
Source - 2.zip,Source/Core/MorphFilter.h,2792,.h,code/config,keep,,0cd67f36ea487d9bc8f6182bd71436253068d917e0d1838e265805b390ceb9cb
Source - 2.zip,Source/Core/ObjectPool.cpp,1558,.cpp,code/config,keep,,332328c69a9846a334f6074a23bfe70d4045b38d71185ee6069c571cdfbf3a88
Source - 2.zip,Source/Core/ObjectPool.h,9587,.h,code/config,keep,,0c17caffb1a520b2552740ded28e854b71ddaa2eed6ec9b88636caf80fa5ebfd
Source - 2.zip,Source/Core/OptimizedCommands.cpp,99,.cpp,code/config,keep,,8980d3c91dfc716a8b88ac05004a8a9a2c0423203192322ddaf8cbb5a529759e
Source - 2.zip,Source/Core/OptimizedCommands.h,9477,.h,code/config,keep,,40dd9eff5dbdf882e3f0a586b1834bf2d49631cb80c57fbe16ac85df3a1be058
Source - 2.zip,Source/Core/OptimizedOscillatorPool.h,14377,.h,code/config,keep,,4b5aebf0fafd60dd460ad471f4ef3d6ac4a48346bc14c00523b40bc559172db0
Source - 2.zip,Source/Core/PaintEngine.cpp,970,.cpp,code/config,keep,,7e583a6bc8e86753e8e193709910fef305b40e8f101b419f65d2a74f48513f48
Source - 2.zip,Source/Core/PaintEngine.h,23253,.h,code/config,keep,,beecad9839e8441220602418c1f7608965d908c8de07b45e5424ef333f84980f
Source - 2.zip,Source/Core/PaintEngineMinimal.h,38,.h,code/config,keep,,ea5c8f15da1c012891fbb78992b5a7bd6f9bfd92fc2a02b476cbc8c10ac5a092
Source - 2.zip,Source/Core/PaintEngineTest.cpp,6400,.cpp,code/config,keep,,335a23de132aa3aae23849d7df86bcbe4365b84382989198308b922d89dbcc66
Source - 2.zip,Source/Core/PaintMapping.h,1171,.h,code/config,keep,,49c58748b59ed9b89fe76bc6768b65bb67b185c6a637a14b73df8085c11372de
Source - 2.zip,Source/Core/PaintQueue.h,5769,.h,code/config,keep,,9217270c1587f3c46891266230942a61f2b747f20880eca8387402792c47ad1a
Source - 2.zip,Source/Core/ParameterBridge.h,751,.h,code/config,keep,,a7b0b40ca269e0f2bfc80a31d592d39349735955d1a3748e3b0772d17755790d
Source - 2.zip,Source/Core/ParameterSnapshot.h,8596,.h,code/config,keep,,aeac6e8d8ad301ff74a4e447731e9c907e6552f9263da5e1418cfb44863cedd9
Source - 2.zip,Source/Core/ParameterUpdate.h,612,.h,code/config,keep,,0fba9df13b66fbe813dd3e0d64705a4e8401302d7ac643f8c57a11861777f308
Source - 2.zip,Source/Core/ParamIDs.h,221,.h,code/config,keep,,c921e60fc529cf01b3deecebf6405540f487905c7fcbaa242d134b3a6a0548c2
Source - 2.zip,Source/Core/Params.h,19056,.h,code/config,keep,,00e3bd716ee2795fbe734c96a92779a5d6d162cfd4735eab8855cfa1cb15337b
Source - 2.zip,Source/Core/PerformanceProfiler.cpp,21460,.cpp,code/config,keep,,a3cd7faf0cb680be4d7c3f5d80b24f976552be239a4659142f726e93ac53873e
Source - 2.zip,Source/Core/PerformanceProfiler.h,13019,.h,code/config,keep,,338568b418940da285abbb288405ed624e6fa51ca9fdd42405f56c4dbf5650f2
Source - 2.zip,Source/Core/Phase4DebugTap.h,685,.h,code/config,keep,,5c8acd9fff7d00ee26fc4c1f34885cfba08f7ebb20bbbaaa5923c521897b3372
Source - 2.zip,Source/Core/PlatformTimeUtils.h,1338,.h,code/config,keep,,6d2ec7d55feac9a91dcf98352f4d6342f35234d915a99f344c13b1686e042fac
Source - 2.zip,Source/Core/PluginProcessor.cpp,50057,.cpp,code/config,keep,,d32ee749b449c4ff9b00250f58dc86313f6c1fc48edb246c5e6a7795cb53af05
